"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1,"1","2025-01-23T09:31:42.917400Z",1,"[{""start"":0,""end"":4,""text"":""कथित"",""labels"":[""ADJ""]},{""start"":5,""end"":10,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":11,""end"":17,""text"":""Liquor"",""labels"":[""NOUN""]},{""start"":18,""end"":22,""text"":""Scam"",""labels"":[""NOUN""]},{""start"":23,""end"":25,""text"":""पर"",""labels"":[""ADP""]},{""start"":26,""end"":28,""text"":""ED"",""labels"":[""PROPN""]},{""start"":29,""end"":31,""text"":""और"",""labels"":[""CONJ""]},{""start"":32,""end"":36,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":37,""end"":41,""text"":""Govt"",""labels"":[""NOUN""]},{""start"":42,""end"":46,""text"":""झूठी"",""labels"":[""ADJ""]},{""start"":47,""end"":52,""text"":""साबित"",""labels"":[""VERB""]},{""start"":53,""end"":56,""text"":""हुई"",""labels"":[""VERB""]},{""start"":59,""end"":65,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":66,""end"":74,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":75,""end"":77,""text"":""ने"",""labels"":[""ADP""]},{""start"":78,""end"":81,""text"":""कही"",""labels"":[""VERB""]},{""start"":82,""end"":85,""text"":""बड़ी"",""labels"":[""ADJ""]},{""start"":86,""end"":89,""text"":""बात"",""labels"":[""NOUN""]},{""start"":57,""end"":58,""text"":""I"",""labels"":[""X""]}]",1849.928,"कथित Delhi Liquor Scam पर ED और Modi Govt झूठी साबित हुई I Arvind Kejriwal ने कही बड़ी बात","2025-01-25T15:36:54.152602Z"
2,"1","2025-01-23T09:35:24.402462Z",2,"[{""start"":0,""end"":6,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":7,""end"":15,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":16,""end"":18,""text"":""ने"",""labels"":[""ADP""]},{""start"":19,""end"":23,""text"":""किया"",""labels"":[""VERB""]},{""start"":24,""end"":31,""text"":""Premium"",""labels"":[""ADJ""]},{""start"":32,""end"":35,""text"":""Bus"",""labels"":[""NOUN""]},{""start"":36,""end"":43,""text"":""Service"",""labels"":[""NOUN""]},{""start"":44,""end"":50,""text"":""Scheme"",""labels"":[""NOUN""]},{""start"":51,""end"":53,""text"":""का"",""labels"":[""ADP""]},{""start"":60,""end"":69,""text"":""Transport"",""labels"":[""NOUN""]},{""start"":70,""end"":76,""text"":""System"",""labels"":[""NOUN""]},{""start"":77,""end"":81,""text"":""में "",""labels"":[""ADP""]},{""start"":81,""end"":85,""text"":""होगा"",""labels"":[""VERB""]},{""start"":54,""end"":58,""text"":""ऐलान"",""labels"":[""VERB""]},{""start"":58,""end"":59,""text"":"","",""labels"":[""X""]},{""start"":86,""end"":97,""text"":""Improvement"",""labels"":[""ADJ""]}]",330.118,"Arvind Kejriwal ने किया Premium Bus Service Scheme का ऐलान, Transport System में होगा Improvement","2025-01-25T15:38:49.826642Z"
3,"1","2025-01-23T09:41:58.392966Z",3,"[{""start"":0,""end"":7,""text"":""Sanjay "",""labels"":[""PROPN""]},{""start"":7,""end"":13,""text"":""Singh "",""labels"":[""PROPN""]},{""start"":13,""end"":15,""text"":""ने"",""labels"":[""ADP""]},{""start"":22,""end"":25,""text"":""कहा"",""labels"":[""VERB""]},{""start"":16,""end"":21,""text"":""क्यों"",""labels"":[""PRON_WH""]},{""start"":26,""end"":28,""text"":""कि"",""labels"":[""ADV""]},{""start"":29,""end"":31,""text"":""PM"",""labels"":[""NOUN""]},{""start"":32,""end"":36,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":37,""end"":39,""text"":""को"",""labels"":[""ADV""]},{""start"":40,""end"":43,""text"":""नाक"",""labels"":[""NOUN""]},{""start"":44,""end"":49,""text"":""रगड़कर"",""labels"":[""VERB""]},{""start"":50,""end"":56,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":57,""end"":65,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":66,""end"":68,""text"":""और"",""labels"":[""CONJ""]},{""start"":69,""end"":72,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":73,""end"":75,""text"":""से"",""labels"":[""ADV""]},{""start"":76,""end"":80,""text"":""माफ़ी"",""labels"":[""NOUN""]},{""start"":81,""end"":87,""text"":""मांगनी"",""labels"":[""VERB""]},{""start"":88,""end"":92,""text"":""होगी"",""labels"":[""VERB""]},{""start"":92,""end"":93,""text"":""?"",""labels"":[""X""]}]",507.634,"Sanjay Singh ने क्यों कहा कि PM Modi को नाक रगड़कर Arvind Kejriwal और AAP से माफ़ी मांगनी होगी?","2025-01-25T15:43:42.379510Z"
4,"1","2025-01-23T09:44:51.275149Z",4,"[{""start"":0,""end"":8,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":9,""end"":13,""text"":""Govt"",""labels"":[""NOUN""]},{""start"":13,""end"":16,""text"":"" के"",""labels"":[""ADV""]},{""start"":17,""end"":18,""text"":""₹"",""labels"":[""X""]},{""start"":18,""end"":20,""text"":""45"",""labels"":[""NUM""]},{""start"":21,""end"":26,""text"":""Crore"",""labels"":[""NOUN""]},{""start"":27,""end"":29,""text"":""के"",""labels"":[""ADP""]},{""start"":30,""end"":32,""text"":""CM"",""labels"":[""NOUN""]},{""start"":33,""end"":38,""text"":""House"",""labels"":[""NOUN""]},{""start"":39,""end"":41,""text"":""पर"",""labels"":[""ADP""]},{""start"":42,""end"":46,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":47,""end"":51,""text"":""बोली"",""labels"":[""VERB""]},{""start"":52,""end"":57,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":58,""end"":60,""text"":""की"",""labels"":[""ADJ""]},{""start"":61,""end"":65,""text"":""जनता"",""labels"":[""NOUN""]},{""start"":65,""end"":66,""text"":""?"",""labels"":[""X""]},{""start"":69,""end"":72,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":67,""end"":68,""text"":""|"",""labels"":[""X""]},{""start"":73,""end"":75,""text"":""vs"",""labels"":[""X""]},{""start"":76,""end"":79,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":82,""end"":89,""text"":""Public "",""labels"":[""NOUN""]},{""start"":89,""end"":96,""text"":""Opinion"",""labels"":[""NOUN""]},{""start"":80,""end"":81,""text"":""|"",""labels"":[""X""]},{""start"":30,""end"":38,""text"":""CM House"",""labels"":[""NOUN""]}]",271.714,"Kejriwal Govt के ₹45 Crore के CM House पर क्या बोली Delhi की जनता? | BJP vs AAP | Public Opinion","2025-01-25T15:48:58.620574Z"
5,"1","2025-01-23T09:47:16.290446Z",5,"[{""start"":0,""end"":2,""text"":""CM"",""labels"":[""NOUN""]},{""start"":3,""end"":9,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":10,""end"":18,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""और"",""labels"":[""CONJ""]},{""start"":22,""end"":24,""text"":""CM"",""labels"":[""NOUN""]},{""start"":25,""end"":33,""text"":""Bhagwant"",""labels"":[""PROPN""]},{""start"":34,""end"":38,""text"":""Mann"",""labels"":[""PROPN""]},{""start"":42,""end"":50,""text"":""Adampur "",""labels"":[""PROPN""]},{""start"":39,""end"":41,""text"":""का"",""labels"":[""ADP""]},{""start"":50,""end"":53,""text"":""में"",""labels"":[""ADP""]},{""start"":54,""end"":60,""text"":""शानदार"",""labels"":[""ADJ""]},{""start"":61,""end"":69,""text"":""Roadshow"",""labels"":[""NOUN""]},{""start"":70,""end"":71,""text"":""|"",""labels"":[""X""]},{""start"":72,""end"":73,""text"":""#"",""labels"":[""X""]},{""start"":73,""end"":96,""text"":""JalandharByelection2023"",""labels"":[""PROPN""]}]",303.43899999999996,"CM Arvind Kejriwal और CM Bhagwant Mann का Adampur में शानदार Roadshow | #JalandharByelection2023","2025-01-25T15:52:09.707595Z"
6,"1","2025-01-23T09:48:24.163076Z",6,"[{""start"":0,""end"":6,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":6,""end"":15,""text"":"" Kejriwal"",""labels"":[""PROPN""]},{""start"":15,""end"":19,""text"":"" और "",""labels"":[""CONJ""]},{""start"":19,""end"":27,""text"":""Bhagwant"",""labels"":[""PROPN""]},{""start"":28,""end"":32,""text"":""Mann"",""labels"":[""PROPN""]},{""start"":32,""end"":35,""text"":"" के"",""labels"":[""ADV""]},{""start"":36,""end"":52,""text"":""Goraya(Phillaur)"",""labels"":[""PROPN""]},{""start"":53,""end"":55,""text"":""के"",""labels"":[""ADP""]},{""start"":56,""end"":64,""text"":""Roadshow"",""labels"":[""NOUN""]},{""start"":65,""end"":68,""text"":""में"",""labels"":[""ADP""]},{""start"":69,""end"":74,""text"":""भारी "",""labels"":[""ADJ""]},{""start"":74,""end"":77,""text"":""भीड़"",""labels"":[""NOUN""]},{""start"":77,""end"":78,""text"":""🔥"",""labels"":[""X""]},{""start"":79,""end"":80,""text"":""#"",""labels"":[""X""]},{""start"":80,""end"":99,""text"":""JalandharByelection"",""labels"":[""PROPN""]}]",178.143,"Arvind Kejriwal और Bhagwant Mann के Goraya(Phillaur) के Roadshow में भारी भीड़🔥 #JalandharByelection","2025-01-25T15:54:02.657618Z"
7,"1","2025-01-23T09:49:38.177068Z",7,"[{""start"":0,""end"":2,""text"":""CM"",""labels"":[""NOUN""]},{""start"":3,""end"":9,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":10,""end"":18,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""और"",""labels"":[""CONJ""]},{""start"":22,""end"":24,""text"":""CM"",""labels"":[""NOUN""]},{""start"":25,""end"":33,""text"":""Bhagwant"",""labels"":[""PROPN""]},{""start"":34,""end"":38,""text"":""Mann"",""labels"":[""PROPN""]},{""start"":39,""end"":41,""text"":""का"",""labels"":[""ADJ""]},{""start"":42,""end"":49,""text"":""Shahkot"",""labels"":[""NOUN""]},{""start"":50,""end"":53,""text"":""में"",""labels"":[""ADP""]},{""start"":54,""end"":59,""text"":""दमदार"",""labels"":[""ADJ""]},{""start"":60,""end"":68,""text"":""Roadshow"",""labels"":[""NOUN""]},{""start"":69,""end"":70,""text"":""|"",""labels"":[""X""]},{""start"":71,""end"":72,""text"":""#"",""labels"":[""X""]},{""start"":72,""end"":95,""text"":""JalandharByelection2023"",""labels"":[""PROPN""]}]",171.145,"CM Arvind Kejriwal और CM Bhagwant Mann का Shahkot में दमदार Roadshow | #JalandharByelection2023","2025-01-25T15:56:01.273191Z"
8,"1","2025-01-23T09:50:50.501813Z",8,"[{""start"":0,""end"":9,""text"":""Jalandhar"",""labels"":[""PROPN""]},{""start"":10,""end"":15,""text"":""North"",""labels"":[""NOUN""]},{""start"":16,""end"":19,""text"":""में"",""labels"":[""ADP""]},{""start"":20,""end"":26,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":27,""end"":35,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":36,""end"":38,""text"":""और"",""labels"":[""CONJ""]},{""start"":39,""end"":41,""text"":""CM"",""labels"":[""NOUN""]},{""start"":42,""end"":50,""text"":""Bhagwant"",""labels"":[""PROPN""]},{""start"":50,""end"":55,""text"":"" Mann"",""labels"":[""PROPN""]},{""start"":56,""end"":58,""text"":""का"",""labels"":[""ADP""]},{""start"":59,""end"":64,""text"":""दमदार"",""labels"":[""ADJ""]},{""start"":65,""end"":73,""text"":""Roadshow"",""labels"":[""NOUN""]},{""start"":74,""end"":75,""text"":""I"",""labels"":[""X""]},{""start"":76,""end"":79,""text"":""AAP"",""labels"":[""PROPN""]}]",165.264,"Jalandhar North में Arvind Kejriwal और CM Bhagwant Mann का दमदार Roadshow I AAP","2025-01-25T15:57:38.015655Z"
9,"1","2025-01-23T09:53:19.153110Z",9,"[{""start"":0,""end"":1,""text"":""#"",""labels"":[""X""]},{""start"":1,""end"":14,""text"":""AmritpalSingh"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""और"",""labels"":[""CONJ""]},{""start"":18,""end"":19,""text"":""#"",""labels"":[""X""]},{""start"":19,""end"":26,""text"":""Manipur"",""labels"":[""PROPN""]},{""start"":27,""end"":35,""text"":""Violence"",""labels"":[""VERB""]},{""start"":36,""end"":39,""text"":""पर "",""labels"":[""ADP""]},{""start"":39,""end"":40,""text"":""#"",""labels"":[""X""]},{""start"":40,""end"":48,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":49,""end"":51,""text"":""ने"",""labels"":[""ADV""]},{""start"":52,""end"":54,""text"":""की"",""labels"":[""ADP""]},{""start"":55,""end"":56,""text"":""#"",""labels"":[""X""]},{""start"":56,""end"":60,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":60,""end"":63,""text"":"" की"",""labels"":[""ADP""]},{""start"":64,""end"":69,""text"":""जमकर "",""labels"":[""ADJ""]},{""start"":69,""end"":74,""text"":""धुलाई"",""labels"":[""VERB""]},{""start"":74,""end"":75,""text"":""!"",""labels"":[""X""]},{""start"":76,""end"":77,""text"":""#"",""labels"":[""X""]},{""start"":77,""end"":91,""text"":""arvindkejriwal"",""labels"":[""PROPN""]},{""start"":92,""end"":93,""text"":""#"",""labels"":[""X""]},{""start"":93,""end"":99,""text"":""shorts"",""labels"":[""NOUN""]}]",229.868,"#AmritpalSingh और #Manipur Violence पर #Kejriwal ने की #Modi की जमकर धुलाई! #arvindkejriwal #shorts","2025-01-25T15:59:40.038465Z"
10,"1","2025-01-23T09:54:43.432644Z",10,"[{""start"":0,""end"":2,""text"":""CM"",""labels"":[""NOUN""]},{""start"":3,""end"":10,""text"":""Arvind "",""labels"":[""PROPN""]},{""start"":10,""end"":18,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""की"",""labels"":[""ADV""]},{""start"":22,""end"":27,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":28,""end"":35,""text"":""Police "",""labels"":[""NOUN""]},{""start"":35,""end"":37,""text"":""से"",""labels"":[""ADP""]},{""start"":38,""end"":41,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":42,""end"":46,""text"":""करवा"",""labels"":[""VERB""]},{""start"":47,""end"":50,""text"":""रही"",""labels"":[""ADV""]},{""start"":51,""end"":53,""text"":""है"",""labels"":[""VERB""]},{""start"":54,""end"":60,""text"":""जासूसी"",""labels"":[""NOUN""]},{""start"":61,""end"":62,""text"":""|"",""labels"":[""X""]},{""start"":63,""end"":70,""text"":""Saurabh"",""labels"":[""PROPN""]},{""start"":71,""end"":80,""text"":""Bharadwaj"",""labels"":[""PROPN""]},{""start"":81,""end"":82,""text"":""|"",""labels"":[""X""]},{""start"":83,""end"":98,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]}]",279.50300000000004,"CM Arvind Kejriwal की Delhi Police से BJP करवा रही है जासूसी | Saurabh Bharadwaj | Aam Aadmi Party","2025-01-25T16:02:57.253068Z"
