"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
11,"1","2025-01-23T09:59:54.078343Z",11,"[{""start"":0,""end"":5,""text"":""News "",""labels"":[""NOUN""]},{""start"":5,""end"":13,""text"":""Channels"",""labels"":[""NOUN""]},{""start"":13,""end"":16,""text"":"" ने"",""labels"":[""ADP""]},{""start"":17,""end"":19,""text"":""ED"",""labels"":[""PROPN""]},{""start"":20,""end"":22,""text"":""के"",""labels"":[""ADP""]},{""start"":23,""end"":34,""text"":""Chargesheet"",""labels"":[""NOUN""]},{""start"":35,""end"":38,""text"":""में"",""labels"":[""ADP""]},{""start"":39,""end"":44,""text"":""बताया"",""labels"":[""VERB""]},{""start"":45,""end"":58,""text"":""Raghav Chadha"",""labels"":[""PROPN""]},{""start"":59,""end"":61,""text"":""का"",""labels"":[""ADP""]},{""start"":62,""end"":65,""text"":""नाम"",""labels"":[""NOUN""]},{""start"":69,""end"":72,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":73,""end"":77,""text"":""नेता"",""labels"":[""NOUN""]},{""start"":66,""end"":68,""text"":""तो"",""labels"":[""ADV""]},{""start"":78,""end"":80,""text"":""ने"",""labels"":[""ADP""]},{""start"":81,""end"":83,""text"":""की"",""labels"":[""VERB""]},{""start"":84,""end"":89,""text"":""दमदार"",""labels"":[""ADJ""]},{""start"":90,""end"":95,""text"":""धुलाई"",""labels"":[""VERB""]}]",408.487,"News Channels ने ED के Chargesheet में बताया Raghav Chadha का नाम तो AAP नेता ने की दमदार धुलाई","2025-01-25T16:04:37.872085Z"
12,"1","2025-01-23T10:02:41.846762Z",12,"[{""start"":12,""end"":17,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":18,""end"":22,""text"":""Govt"",""labels"":[""NOUN""]},{""start"":23,""end"":30,""text"":""School "",""labels"":[""NOUN""]},{""start"":82,""end"":97,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]},{""start"":38,""end"":41,""text"":""PTM"",""labels"":[""NOUN""]},{""start"":0,""end"":4,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":5,""end"":8,""text"":""हुआ"",""labels"":[""VERB""]},{""start"":9,""end"":11,""text"":""जब"",""labels"":[""CONJ""]},{""start"":30,""end"":32,""text"":""की"",""labels"":[""ADJ""]},{""start"":33,""end"":37,""text"":""Mega"",""labels"":[""ADJ""]},{""start"":42,""end"":45,""text"":""में"",""labels"":[""ADP""]},{""start"":46,""end"":52,""text"":""पहुंची"",""labels"":[""VERB""]},{""start"":53,""end"":62,""text"":""Education"",""labels"":[""PROPN""]},{""start"":63,""end"":71,""text"":""Minister"",""labels"":[""NOUN""]},{""start"":72,""end"":78,""text"":""Atishi"",""labels"":[""PROPN""]},{""start"":78,""end"":81,""text"":""? |"",""labels"":[""X""]}]",167.6,"क्या हुआ जब Delhi Govt School की Mega PTM में पहुंची Education Minister Atishi? | Aam Aadmi Party","2025-01-23T10:02:41.846799Z"
13,"1","2025-01-23T10:05:49.582657Z",13,"[{""start"":13,""end"":19,""text"":""Arvind"",""labels"":[""PROPN""]},{""start"":20,""end"":28,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":79,""end"":84,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":92,""end"":93,""text"":""?"",""labels"":[""X""]},{""start"":0,""end"":5,""text"":""Times"",""labels"":[""NOUN""]},{""start"":6,""end"":9,""text"":""Now"",""labels"":[""NOUN""]},{""start"":10,""end"":12,""text"":""के"",""labels"":[""ADP""]},{""start"":29,""end"":31,""text"":""के"",""labels"":[""ADP""]},{""start"":32,""end"":34,""text"":""घर"",""labels"":[""NOUN""]},{""start"":35,""end"":37,""text"":""पर"",""labels"":[""ADP""]},{""start"":38,""end"":43,""text"":""किये "",""labels"":[""VERB""]},{""start"":43,""end"":52,""text"":""Operation"",""labels"":[""VERB""]},{""start"":53,""end"":65,""text"":""Sheesh Mahal"",""labels"":[""PROPN""]},{""start"":66,""end"":68,""text"":""पर"",""labels"":[""ADP""]},{""start"":69,""end"":73,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":74,""end"":78,""text"":""बोली"",""labels"":[""VERB""]},{""start"":85,""end"":87,""text"":""की"",""labels"":[""ADP""]},{""start"":88,""end"":92,""text"":""जनता"",""labels"":[""NOUN""]}]",279.536,"Times Now के Arvind Kejriwal के घर पर किये Operation Sheesh Mahal पर क्या बोली Delhi की जनता?","2025-01-25T16:07:38.360473Z"
14,"1","2025-01-23T10:08:09.827941Z",14,"[{""start"":0,""end"":4,""text"":""MCD "",""labels"":[""PROPN""]},{""start"":4,""end"":9,""text"":""Mayor"",""labels"":[""NOUN""]},{""start"":10,""end"":18,""text"":""Election"",""labels"":[""NOUN""]},{""start"":18,""end"":19,""text"":"":"",""labels"":[""X""]},{""start"":20,""end"":23,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":24,""end"":26,""text"":""ने"",""labels"":[""ADP""]},{""start"":27,""end"":31,""text"":""किया"",""labels"":[""VERB""]},{""start"":32,""end"":41,""text"":""Surrender"",""labels"":[""NOUN""]},{""start"":41,""end"":42,""text"":"","",""labels"":[""X""]},{""start"":43,""end"":46,""text"":""Dr."",""labels"":[""PROPN""]},{""start"":61,""end"":63,""text"":""और"",""labels"":[""CONJ""]},{""start"":64,""end"":75,""text"":""Aaley Iqbal"",""labels"":[""PROPN""]},{""start"":76,""end"":80,""text"":""जीते"",""labels"":[""VERB""]},{""start"":81,""end"":82,""text"":""|"",""labels"":[""X""]},{""start"":47,""end"":53,""text"":""Shelly"",""labels"":[""PROPN""]},{""start"":54,""end"":60,""text"":""Oberoi"",""labels"":[""PROPN""]},{""start"":83,""end"":90,""text"":""Durgesh"",""labels"":[""PROPN""]},{""start"":91,""end"":97,""text"":""Pathak"",""labels"":[""PROPN""]}]",179.022,"MCD Mayor Election: BJP ने किया Surrender, Dr. Shelly Oberoi और Aaley Iqbal जीते | Durgesh Pathak","2025-01-25T16:21:29.521964Z"
15,"1","2025-01-23T10:10:47.801026Z",15,"[{""start"":0,""end"":3,""text"":""PM "",""labels"":[""NOUN""]},{""start"":3,""end"":7,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":8,""end"":10,""text"":""के"",""labels"":[""ADJ""]},{""start"":11,""end"":14,""text"":""नए "",""labels"":[""ADJ""]},{""start"":14,""end"":16,""text"":""घर"",""labels"":[""NOUN""]},{""start"":17,""end"":19,""text"":""पर"",""labels"":[""ADV""]},{""start"":20,""end"":24,""text"":""₹500"",""labels"":[""NUM""]},{""start"":25,""end"":30,""text"":""Crore"",""labels"":[""NOUN""]},{""start"":31,""end"":33,""text"":""का"",""labels"":[""ADP""]},{""start"":34,""end"":39,""text"":""खर्चा"",""labels"":[""NOUN""]},{""start"":39,""end"":40,""text"":"","",""labels"":[""X""]},{""start"":54,""end"":56,""text"":""ने"",""labels"":[""ADP""]},{""start"":57,""end"":61,""text"":""खोली"",""labels"":[""VERB""]},{""start"":61,""end"":65,""text"":"" पोल"",""labels"":[""NOUN""]},{""start"":65,""end"":66,""text"":""!"",""labels"":[""X""]},{""start"":67,""end"":68,""text"":""|"",""labels"":[""X""]},{""start"":83,""end"":84,""text"":""|"",""labels"":[""X""]},{""start"":85,""end"":100,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]},{""start"":41,""end"":47,""text"":""Sanjay"",""labels"":[""PROPN""]},{""start"":48,""end"":53,""text"":""Singh"",""labels"":[""PROPN""]},{""start"":69,""end"":77,""text"":""Narendra"",""labels"":[""PROPN""]},{""start"":78,""end"":82,""text"":""Modi"",""labels"":[""PROPN""]}]",267.417,"PM Modi के नए घर पर ₹500 Crore का खर्चा, Sanjay Singh ने खोली पोल! | Narendra Modi | Aam Aadmi Party","2025-01-25T16:22:30.371851Z"
16,"1","2025-01-23T10:12:27.297649Z",16,"[{""start"":14,""end"":16,""text"":""ने"",""labels"":[""ADP""]},{""start"":17,""end"":19,""text"":""PM"",""labels"":[""NOUN""]},{""start"":20,""end"":24,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":25,""end"":27,""text"":""के"",""labels"":[""ADP""]},{""start"":28,""end"":30,""text"":""घर"",""labels"":[""NOUN""]},{""start"":31,""end"":33,""text"":""पर"",""labels"":[""ADP""]},{""start"":34,""end"":37,""text"":""हुए"",""labels"":[""VERB""]},{""start"":38,""end"":43,""text"":""खर्चे"",""labels"":[""VERB""]},{""start"":44,""end"":46,""text"":""पर"",""labels"":[""ADP""]},{""start"":47,""end"":51,""text"":""किया"",""labels"":[""VERB""]},{""start"":52,""end"":55,""text"":""बड़ा"",""labels"":[""ADJ""]},{""start"":56,""end"":62,""text"":""खुलासा"",""labels"":[""NOUN""]},{""start"":62,""end"":64,""text"":""!!"",""labels"":[""X""]},{""start"":65,""end"":66,""text"":""|"",""labels"":[""X""]},{""start"":81,""end"":82,""text"":""|"",""labels"":[""X""]},{""start"":83,""end"":98,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]},{""start"":0,""end"":6,""text"":""Raghav"",""labels"":[""PROPN""]},{""start"":7,""end"":13,""text"":""Chadha"",""labels"":[""PROPN""]},{""start"":67,""end"":75,""text"":""Narendra"",""labels"":[""PROPN""]},{""start"":76,""end"":80,""text"":""Modi"",""labels"":[""PROPN""]}]",207.721,"Raghav Chadha ने PM Modi के घर पर हुए खर्चे पर किया बड़ा खुलासा!! | Narendra Modi | Aam Aadmi Party","2025-01-25T16:23:02.270061Z"
17,"1","2025-01-23T10:14:22.009642Z",17,"[{""start"":7,""end"":10,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":11,""end"":20,""text"":""Rajasthan"",""labels"":[""PROPN""]},{""start"":21,""end"":23,""text"":""के"",""labels"":[""ADP""]},{""start"":24,""end"":36,""text"":""पदाधिकारियों"",""labels"":[""NOUN""]},{""start"":37,""end"":39,""text"":""का"",""labels"":[""ADP""]},{""start"":40,""end"":49,""text"":""शपथ-ग्रहण"",""labels"":[""NOUN""]},{""start"":50,""end"":56,""text"":""समारोह"",""labels"":[""NOUN""]},{""start"":57,""end"":58,""text"":""|"",""labels"":[""X""]},{""start"":74,""end"":75,""text"":""|"",""labels"":[""X""]},{""start"":76,""end"":85,""text"":""Rajasthan"",""labels"":[""PROPN""]},{""start"":86,""end"":95,""text"":""Elections"",""labels"":[""NOUN""]},{""start"":96,""end"":100,""text"":""2023"",""labels"":[""NUM""]},{""start"":0,""end"":4,""text"":""LIVE"",""labels"":[""NOUN""]},{""start"":5,""end"":6,""text"":""|"",""labels"":[""X""]},{""start"":59,""end"":66,""text"":""Sandeep"",""labels"":[""PROPN""]},{""start"":67,""end"":73,""text"":""Pathak"",""labels"":[""PROPN""]}]",221.27499999999998,"LIVE | AAP Rajasthan के पदाधिकारियों का शपथ-ग्रहण समारोह | Sandeep Pathak | Rajasthan Elections 2023","2025-01-25T16:23:29.177235Z"
18,"1","2025-01-23T10:19:05.144915Z",18,"[{""start"":0,""end"":2,""text"":""CM"",""labels"":[""NOUN""]},{""start"":3,""end"":11,""text"":""Bhagwant"",""labels"":[""PROPN""]},{""start"":12,""end"":16,""text"":""Mann"",""labels"":[""PROPN""]},{""start"":17,""end"":19,""text"":""ने"",""labels"":[""ADP""]},{""start"":20,""end"":27,""text"":""अमृतपाल"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""की"",""labels"":[""ADP""]},{""start"":31,""end"":40,""text"":""गिरफ्तारी"",""labels"":[""VERB""]},{""start"":41,""end"":44,""text"":""पर "",""labels"":[""ADP""]},{""start"":44,""end"":48,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":49,""end"":52,""text"":""कहा"",""labels"":[""VERB""]},{""start"":52,""end"":53,""text"":""?"",""labels"":[""X""]},{""start"":54,""end"":55,""text"":""|"",""labels"":[""X""]},{""start"":56,""end"":65,""text"":""Amritpal "",""labels"":[""PROPN""]},{""start"":65,""end"":71,""text"":""Arrest"",""labels"":[""VERB""]},{""start"":72,""end"":78,""text"":""Latest"",""labels"":[""ADJ""]},{""start"":79,""end"":84,""text"":""News "",""labels"":[""NOUN""]},{""start"":84,""end"":85,""text"":""|"",""labels"":[""X""]},{""start"":86,""end"":90,""text"":""AAP "",""labels"":[""PROPN""]},{""start"":90,""end"":96,""text"":""Punjab"",""labels"":[""PROPN""]}]",357.765,"CM Bhagwant Mann ने अमृतपाल की गिरफ्तारी पर क्या कहा? | Amritpal Arrest Latest News | AAP Punjab","2025-01-25T16:14:27.810919Z"
19,"1","2025-01-23T10:21:41.208721Z",19,"[{""start"":0,""end"":5,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":5,""end"":10,""text"":"" में "",""labels"":[""ADP""]},{""start"":10,""end"":19,""text"":""Law&Order"",""labels"":[""NOUN""]},{""start"":20,""end"":22,""text"":""का"",""labels"":[""ADV""]},{""start"":23,""end"":27,""text"":""बुरा"",""labels"":[""ADJ""]},{""start"":28,""end"":31,""text"":""हाल"",""labels"":[""NOUN""]},{""start"":31,""end"":32,""text"":"","",""labels"":[""X""]},{""start"":33,""end"":38,""text"":""Saket"",""labels"":[""PROPN""]},{""start"":39,""end"":44,""text"":""Court"",""labels"":[""NOUN""]},{""start"":45,""end"":48,""text"":""में"",""labels"":[""ADP""]},{""start"":49,""end"":55,""text"":""Firing"",""labels"":[""VERB""]},{""start"":55,""end"":58,""text"":"" के"",""labels"":[""ADP""]},{""start"":58,""end"":62,""text"":"" बाद"",""labels"":[""NOUN""]},{""start"":63,""end"":65,""text"":""LG"",""labels"":[""PROPN""]},{""start"":66,""end"":78,""text"":""Vinai Saxena"",""labels"":[""PROPN""]},{""start"":79,""end"":81,""text"":""पर"",""labels"":[""ADP""]},{""start"":82,""end"":86,""text"":""जमकर"",""labels"":[""ADV""]},{""start"":87,""end"":91,""text"":""बरसी"",""labels"":[""VERB""]},{""start"":92,""end"":98,""text"":""Atishi"",""labels"":[""PROPN""]},{""start"":97,""end"":99,""text"":""i!"",""labels"":[""X""]}]",231.83499999999998,"Delhi में Law&Order का बुरा हाल, Saket Court में Firing के बाद LG Vinai Saxena पर जमकर बरसी Atishi!","2025-01-25T16:15:51.248800Z"
20,"1","2025-01-23T10:27:12.411300Z",20,"[{""start"":0,""end"":17,""text"":""Saurabh Bharadwaj"",""labels"":[""PROPN""]},{""start"":18,""end"":20,""text"":""ने"",""labels"":[""ADV""]},{""start"":21,""end"":26,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":27,""end"":33,""text"":""Police"",""labels"":[""NOUN""]},{""start"":34,""end"":36,""text"":""के"",""labels"":[""ADV""]},{""start"":37,""end"":40,""text"":""350"",""labels"":[""NUM""]},{""start"":41,""end"":46,""text"":""Crore"",""labels"":[""NOUN""]},{""start"":47,""end"":49,""text"":""के"",""labels"":[""ADP""]},{""start"":50,""end"":56,""text"":""घोटाले"",""labels"":[""NOUN""]},{""start"":57,""end"":59,""text"":""पर"",""labels"":[""ADP""]},{""start"":60,""end"":63,""text"":""LG "",""labels"":[""PROPN""]},{""start"":63,""end"":75,""text"":""Vinai Saxena"",""labels"":[""PROPN""]},{""start"":76,""end"":78,""text"":""से"",""labels"":[""ADV""]},{""start"":79,""end"":83,""text"":""पूछे"",""labels"":[""VERB""]},{""start"":84,""end"":88,""text"":""तीखे"",""labels"":[""ADJ""]},{""start"":89,""end"":93,""text"":""सवाल"",""labels"":[""NOUN""]},{""start"":93,""end"":94,""text"":""!"",""labels"":[""X""]}]",411.97700000000003,"Saurabh Bharadwaj ने Delhi Police के 350 Crore के घोटाले पर LG Vinai Saxena से पूछे तीखे सवाल!","2025-01-25T16:17:14.106754Z"
